Image,PSNR,SSIM,RMSE,SAM
230,37.87546797445338,0.9667185,0.01277104951441288,0.02998088300228119
231,39.07138445459533,0.9756706,0.011128350161015987,0.02640426903963089
232,35.42323394012246,0.9652448,0.016937069594860077,0.027667507529258728
233,38.81937362949267,0.9766004,0.011455954983830452,0.02562868222594261
234,38.71874691173021,0.97266036,0.011589445173740387,0.026229530572891235
235,40.5365173856225,0.97850436,0.009401001036167145,0.020721616223454475
236,24.57144281448496,0.8202553,0.05907827988266945,0.08931703120470047
237,39.56110666383231,0.97150844,0.010518278926610947,0.022395407781004906
238,37.382082646977246,0.97224635,0.013517485000193119,0.03094128519296646
239,37.26014915574838,0.97082335,0.013708582147955894,0.03441910073161125
240,38.878850899651425,0.9745582,0.01137777790427208,0.02707839198410511
241,39.65641908620895,0.97453505,0.01040348969399929,0.021957671269774437
242,34.80168121438854,0.9573329,0.01819348707795143,0.0252500232309103
243,37.07173773165097,0.9724429,0.01400919258594513,0.02575780265033245
244,38.700757771112045,0.9711633,0.011613473296165466,0.02587234228849411
245,41.40902592156478,0.980534,0.008502540178596973,0.01871514692902565
246,40.37244404102778,0.9768613,0.009580270387232304,0.021052824333310127
247,23.60839434706627,0.7528779,0.06600552797317505,0.16860902309417725
248,38.75816248895398,0.97434455,0.011536973528563976,0.02542482689023018
249,38.717027034417924,0.97264194,0.01159173995256424,0.02691376768052578
250,39.29141461210338,0.9751989,0.010849988088011742,0.02446477860212326
251,39.24418549815662,0.9777377,0.010909145697951317,0.02353770285844803
252,29.725302144968843,0.86017567,0.032638851553201675,0.024635683745145798
253,31.33354390246658,0.8604277,0.027122067287564278,0.02265636809170246
254,30.14020603283265,0.8563483,0.0311164241284132,0.030590105801820755
255,29.549797750936296,0.8611868,0.033305052667856216,0.027179397642612457
256,32.09670596811765,0.8668981,0.02484074980020523,0.022081302478909492
257,31.410075040931407,0.86373407,0.02688414603471756,0.023447146639227867
258,21.39424685673482,0.79391605,0.0851702019572258,0.13556534051895142
259,31.19972662150348,0.8703603,0.02754315361380577,0.02284976840019226
260,29.0999467528391,0.8549638,0.03507540002465248,0.02750558778643608
261,28.83881161736959,0.8578496,0.03614593297243118,0.030242783948779106
262,31.41758432285247,0.86068064,0.026860913261771202,0.022197671234607697
263,29.369389017381632,0.86321515,0.03400404006242752,0.028613576665520668
264,30.099607542167192,0.86162907,0.03126220777630806,0.027608048170804977
265,29.859821723747253,0.8634796,0.03213726356625557,0.023394549265503883
266,31.846583922000228,0.87090755,0.025566471740603447,0.02316981367766857
267,31.538925362632803,0.8646547,0.026488278061151505,0.024602524936199188
268,30.64074005525276,0.87863845,0.02937399409711361,0.026820387691259384
269,22.59747080357263,0.7884586,0.07415261119604111,0.137344092130661
270,29.637894279841394,0.8534662,0.03296896442770958,0.02674863487482071
271,28.964434955954488,0.85599095,0.03562691807746887,0.025588639080524445
272,28.85450811228892,0.8545909,0.03608066961169243,0.02820681221783161
273,30.603070309937266,0.8537987,0.02950166165828705,0.0214257650077343
274,31.087069419873,0.8579833,0.027902718633413315,0.021430393680930138
275,30.84816915644582,0.8697276,0.028680820018053055,0.025370342656970024
276,31.560059330037706,0.866271,0.026423906907439232,0.02410912699997425
277,30.86761450773612,0.8551313,0.028616681694984436,0.027859648689627647
278,31.25061470882899,0.85688764,0.0273822583258152,0.025978293269872665
279,29.898621363788692,0.8460248,0.03199402987957001,0.025495894253253937
280,20.038665724047714,0.6939821,0.0995558351278305,0.17721349000930786
